,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
13,Willie Anderson,1997,1997,1,28,303,29,64,8,19,17,20,15,42,34,14,4,19,36,83,.453,.421,.850,10.8,3.0,1.5,1.2,anderwi01
14,Joel Anthony,2008,2014,7,382,6283,336,662,0,0,240,361,501,1177,88,108,456,207,725,912,.508,,.665,16.4,2.4,3.1,0.2,anthojo01
15,Trevor Ariza,2021,2021,1,30,841,99,241,50,143,34,44,27,144,55,31,18,21,55,282,.411,.350,.773,28.0,9.4,4.8,1.8,arizatr01
16,Carlos Arroyo,2010,2011,2,121,2580,287,613,35,89,104,125,39,210,325,50,7,97,162,713,.468,.393,.832,21.3,5.9,1.7,2.7,arroyca01
17,Keith Askins,1991,1999,9,486,7983,677,1688,275,774,223,311,525,1428,375,278,170,321,1094,1852,.401,.355,.717,16.4,3.8,2.9,0.8,askinke01
18,Isaac Austin,1997,1998,2,134,3252,573,1171,0,6,305,454,255,808,188,88,77,278,406,1451,.489,.000,.672,24.3,10.8,6.0,1.4,austiis01
19,Luke Babbitt,2017,2018,2,81,1210,124,328,98,255,11,15,14,156,41,21,13,29,125,357,.378,.384,.733,14.9,4.4,1.9,0.5,babbilu01
20,Miloš Babić,1992,1992,1,9,35,6,13,0,0,6,8,2,11,6,1,0,5,0,18,.462,,.750,3.9,2.0,1.2,0.7,babicmi01
21,Marcus Banks,2008,2009,2,28,425,57,121,17,51,25,34,1,40,58,16,7,32,48,156,.471,.333,.735,15.2,5.6,1.4,2.1,banksma01
22,Earl Barron,2006,2008,3,82,1137,161,426,1,14,81,109,88,249,34,25,12,64,145,404,.378,.071,.743,13.9,4.9,3.0,0.4,barroea01
23,Brent Barry,1998,1998,1,17,259,23,62,12,34,12,12,2,28,21,14,4,9,30,70,.371,.353,1.000,15.2,4.1,1.6,1.2,barrybr01
24,Shane Battier,2012,2014,3,210,4753,370,929,271,709,70,98,127,459,217,155,127,92,378,1081,.398,.382,.714,22.6,5.1,2.2,1.0,battish01
