Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Bernard Robinson,#N/A,408,#N/A,223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rodions Kurucs,#N/A,283,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jay Miller,357,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A,#N/A,#N/A,285,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
McCoy Ingram,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chris Silva,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,293,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,424,#N/A,#N/A,#N/A,#N/A
Scott Roth,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,347,#N/A,273,#N/A
Christian Wood,#N/A,#N/A,#N/A,283,#N/A,#N/A,355,#N/A,532,#N/A,420,#N/A,#N/A,#N/A,#N/A,#N/A,439,#N/A,223,#N/A,#N/A,#N/A,539,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim McMillian,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,283,306,#N/A,#N/A,#N/A,#N/A,#N/A,313,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A,#N/A,#N/A,#N/A
Ed Stokes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,223,#N/A,#N/A
Johnny Jones,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eddie Robinson,#N/A,#N/A,#N/A,224,297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mel Hutchins,242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Lamb,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,270,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A
Reggie Miller,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Theron Smith,#N/A,#N/A,#N/A,243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wayne Simien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brandon Roy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,284,#N/A,#N/A,#N/A,#N/A,#N/A
Julian Wright,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,267,#N/A,#N/A
Donald Royal,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,429,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A,#N/A,348,#N/A,#N/A,#N/A
Irv Kiffin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A,#N/A
Julyan Stone,#N/A,#N/A,#N/A,248,#N/A,#N/A,#N/A,347,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,224,#N/A,#N/A
Elijah Millsap,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,267,#N/A,#N/A,#N/A,#N/A,224,#N/A
Rumeal Robinson,448,411,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,382,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,322,279,#N/A,#N/A,#N/A,#N/A,#N/A
Rodney McCray,#N/A,#N/A,#N/A,#N/A,242,#N/A,225,#N/A,#N/A,#N/A,255,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,#N/A,#N/A,#N/A,#N/A
Priest Lauderdale,287,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Jackson,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Xavier Sneed,#N/A,#N/A,#N/A,245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,286,#N/A
Javonte Smart,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,366,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Damjan Rudež,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,286,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Damion Lee,292,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Michael Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A
Albert King,#N/A,273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,270,#N/A,#N/A,#N/A,225,#N/A,#N/A,226
Damon Stoudamire,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,315,#N/A,378,225,#N/A,#N/A
Paul Millsap,358,338,#N/A,#N/A,#N/A,#N/A,#N/A,266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,341,#N/A,#N/A,#N/A,#N/A,#N/A,225,#N/A
Red Kerr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,225
Dennis Horner,#N/A,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
K.C. Jones,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malik Rose,#N/A,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,402,295,#N/A,#N/A,#N/A,#N/A,#N/A,346,#N/A,#N/A,#N/A
Charles Smith,#N/A,#N/A,405,#N/A,#N/A,#N/A,#N/A,337,#N/A,#N/A,#N/A,#N/A,381,#N/A,#N/A,226,#N/A,241,#N/A,436,#N/A,#N/A,#N/A,#N/A,300,#N/A,367,#N/A,#N/A,#N/A
Jeryl Sasser,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gerard King,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,228
Rod Strickland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,358,#N/A,#N/A,#N/A,#N/A,237,#N/A,251,#N/A,456,#N/A,243,#N/A,#N/A,317,#N/A,379,226,#N/A,410
Donovan Mitchell,#N/A,#N/A,#N/A,#N/A,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,#N/A
Brian Rowsom,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,285,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alex Kirk,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JaVale McGee,#N/A,#N/A,#N/A,#N/A,#N/A,261,227,253,#N/A,318,#N/A,#N/A,#N/A,299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,329,255,#N/A,#N/A,#N/A,#N/A,#N/A,275
Naz Mitrou-Long,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A
Marreese Speights,#N/A,#N/A,#N/A,#N/A,#N/A,371,#N/A,#N/A,#N/A,465,#N/A,#N/A,393,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,240,472,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dru Smith,#N/A,439,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Frank Kornet,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ricky Rubio,#N/A,#N/A,#N/A,#N/A,#N/A,343,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,327,#N/A,#N/A,#N/A,#N/A,274,#N/A
Feron Hunt,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Saben Lee,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,288,227,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Patty Mills,#N/A,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,277,#N/A,#N/A,#N/A
Jared Sullinger,#N/A,#N/A,420,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227,#N/A,#N/A
Sam Jones,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JaQuori McLaughlin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jaden Ivey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ben Moore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D.J. Stephens,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,379,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tim McCormick,339,323,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,253,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,301,228,#N/A,325,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Admiral Schofield,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,379
Justin Minaya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A,#N/A
Justin James,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A,#N/A,#N/A
Žan Tabak,#N/A,#N/A,427,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,362,325,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228,#N/A,#N/A
Kris Joseph,#N/A,266,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Terry Rozier,#N/A,#N/A,378,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Guy Morgan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Jaros,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Joe Stephens,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,357,#N/A,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Smith,487,#N/A,#N/A,244,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,418,#N/A,229,375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,351,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brandon Rush,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,435,#N/A,287,#N/A,#N/A,#N/A,#N/A,#N/A,229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277,#N/A
Sergei Monia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229,326,#N/A,#N/A,#N/A,#N/A
Sebastian Telfair,#N/A,#N/A,431,#N/A,#N/A,383,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,405,#N/A,#N/A,#N/A,#N/A,254,#N/A,#N/A,335,#N/A,#N/A,364,320,#N/A,#N/A,229,#N/A,#N/A
Mikki Moore,364,345,299,#N/A,#N/A,#N/A,#N/A,#N/A,345,339,#N/A,#N/A,291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,243,#N/A,#N/A,#N/A,#N/A,328,#N/A,#N/A,229,#N/A
Maurice King,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229
Kareem Rush,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,288,367,389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,426,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Salah Mejri,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Allen Leavell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Richard Morton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rory Sparrow,491,447,#N/A,#N/A,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,421,#N/A,230,#N/A,#N/A,#N/A,446,#N/A,#N/A,#N/A,#N/A,#N/A,438,#N/A,#N/A,#N/A,#N/A
D'Angelo Russell,#N/A,416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,437,#N/A,#N/A,#N/A,392,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scooter McCray,#N/A,#N/A,#N/A,#N/A,#N/A,259,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jay Scrubb,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,372,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luis Montero,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,343,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A
Les Jepsen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A
John Thomas,517,472,439,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,241,#N/A,#N/A,257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A
Otto Moore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,346,#N/A,275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,270,#N/A,329,#N/A,#N/A,230,#N/A
Corey Kispert,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230
Mile Ilić,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jamal Sampson,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,324,#N/A,#N/A,#N/A,#N/A,#N/A,397,#N/A,#N/A,356,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,414,#N/A,#N/A,#N/A,#N/A
Matt Maloney,317,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
